n:39 mse_avg:14.66 mse_y:20.99 mse_u:1.89 mse_v:2.15 psnr_avg:36.47 psnr_y:34.91 psnr_u:45.38 psnr_v:44.81 
n:40 mse_avg:14.30 mse_y:20.38 mse_u:2.05 mse_v:2.24 psnr_avg:36.58 psnr_y:35.04 psnr_u:45.02 psnr_v:44.63 
n:41 mse_avg:13.98 mse_y:19.99 mse_u:1.90 mse_v:1.99 psnr_avg:36.68 psnr_y:35.12 psnr_u:45.33 psnr_v:45.14 
n:42 mse_avg:14.41 mse_y:20.59 mse_u:2.09 mse_v:2.03 psnr_avg:36.54 psnr_y:34.99 psnr_u:44.93 psnr_v:45.05 
n:43 mse_avg:14.54 mse_y:20.79 mse_u:2.12 mse_v:1.97 psnr_avg:36.51 psnr_y:34.95 psnr_u:44.86 psnr_v:45.19 
n:44 mse_avg:13.82 mse_y:19.83 mse_u:1.97 mse_v:1.63 psnr_avg:36.73 psnr_y:35.16 psnr_u:45.18 psnr_v:46.01 
n:45 mse_avg:11.95 mse_y:17.07 mse_u:1.94 mse_v:1.46 psnr_avg:37.36 psnr_y:35.81 psnr_u:45.26 psnr_v:46.48 
n:46 mse_avg:12.82 mse_y:18.31 mse_u:2.12 mse_v:1.56 psnr_avg:37.05 psnr_y:35.50 psnr_u:44.88 psnr_v:46.19 
n:47 mse_avg:11.45 mse_y:16.41 mse_u:1.63 mse_v:1.40 psnr_avg:37.54 psnr_y:35.98 psnr_u:46.01 psnr_v:46.66 
n:48 mse_avg:10.90 mse_y:15.65 mse_u:1.44 mse_v:1.35 psnr_avg:37.76 psnr_y:36.19 psnr_u:46.53 psnr_v:46.82 
n:49 mse_avg:8.22 mse_y:11.87 mse_u:1.00 mse_v:0.84 psnr_avg:38.98 psnr_y:37.38 psnr_u:48.15 psnr_v:48.89 
n:50 mse_avg:8.34 mse_y:12.00 mse_u:1.07 mse_v:0.94 psnr_avg:38.92 psnr_y:37.34 psnr_u:47.84 psnr_v:48.39 
n:51 mse_avg:6.94 mse_y:9.90 mse_u:1.06 mse_v:0.94 psnr_avg:39.72 psnr_y:38.17 psnr_u:47.90 psnr_v:48.40 
n:52 mse_avg:6.60 mse_y:9.42 mse_u:1.01 mse_v:0.91 psnr_avg:39.94 psnr_y:38.39 psnr_u:48.08 psnr_v:48.55 
n:53 mse_avg:6.19 mse_y:8.85 mse_u:0.92 mse_v:0.85 psnr_avg:40.21 psnr_y:38.66 psnr_u:48.49 psnr_v:48.86 
n:54 mse_avg:5.82 mse_y:8.37 mse_u:0.75 mse_v:0.71 psnr_avg:40.48 psnr_y:38.90 psnr_u:49.38 psnr_v:49.60 
n:55 mse_avg:5.52 mse_y:7.94 mse_u:0.70 mse_v:0.64 psnr_avg:40.71 psnr_y:39.13 psnr_u:49.68 psnr_v:50.07 
n:56 mse_avg:5.20 mse_y:7.48 mse_u:0.68 mse_v:0.58 psnr_avg:40.97 psnr_y:39.39 psnr_u:49.79 psnr_v:50.46 
n:57 mse_avg:4.93 mse_y:7.10 mse_u:0.64 mse_v:0.55 psnr_avg:41.20 psnr_y:39.62 psnr_u:50.04 psnr_v:50.74 
n:58 mse_avg:4.91 mse_y:7.02 mse_u:0.75 mse_v:0.63 psnr_avg:41.22 psnr_y:39.67 psnr_u:49.36 psnr_v:50.15 
